指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="000922",中证红利,2008-05-26,=-0.0107,=5321.0747,=-0.0332,=8.1298,=0.6661,=5.1762,=6.0245,=7.6568,=8.6158,=11.2156,=0.7931,=0.3916,=0.5911,=0.7110,=0.8473,=1.1086,=1.4999,=1.2021,=0.7597,=0.6332,=0.7726,=1.0442,=1.2311,=1.7101,=0.0445,=0.3664,=0.0309,=0.0402,=0.0471,=0.0596,=0.0693,=0.0233,=0.0895,=0.0228,=20238
="931446",东证红利低波,2020-04-21,=-0.0074,=3267.1923,=-0.0510,=8.1683,=0.6956,=5.1478,=6.1874,=7.1645,=8.5307,=11.0216,=0.7905,=0.5776,=0.5884,=0.6974,=0.7656,=0.8702,=1.2481,=1.4573,=0.9153,=0.5909,=0.7567,=0.8915,=1.3309,=1.5979,=0.0436,=0.3092,=0.0325,=0.0416,=0.0485,=0.0564,=0.0651,=0.0224,=0.0895,=0.0240,=862
="000015",红利指数,2005-01-04,=-0.0132,=3074.2900,=0.0121,=8.3021,=0.8566,=4.6646,=5.5108,=7.0876,=8.0689,=10.4439,=0.7966,=0.5651,=0.5525,=0.6398,=0.7654,=1.0179,=1.3875,=1.3972,=0.8640,=0.7277,=0.8913,=1.1409,=1.3430,=1.6890,=0.0430,=0.2077,=0.0330,=0.0427,=0.0514,=0.0644,=0.0757,=0.0233,=0.0885,=0.0212,=14226
="399373",大盘价值,2010-01-04,=-0.0107,=7711.3000,=-0.1006,=8.3526,=0.5041,=5.4746,=6.8623,=8.3403,=9.1146,=11.9914,=0.8534,=0.3038,=0.6410,=0.8033,=0.9411,=1.1408,=1.5001,=1.1219,=0.7535,=0.5920,=0.7817,=0.9284,=1.1432,=1.4541,=0.0440,=0.5540,=0.0275,=0.0366,=0.0428,=0.0526,=0.0641,=0.0236,=0.0939,=0.0248,=331
="000821",300红利,2012-07-20,=-0.0111,=6372.8871,=-0.0449,=8.3644,=0.7725,=4.9998,=6.1944,=7.5608,=8.4656,=10.9286,=0.8222,=0.3533,=0.5725,=0.7140,=0.8653,=1.0796,=1.4919,=1.3293,=0.8120,=0.6098,=0.7993,=1.0658,=1.3226,=1.6963,=0.0455,=0.4221,=0.0319,=0.0422,=0.0473,=0.0563,=0.0673,=0.0235,=0.0916,=0.0239,=999
="000151",上国红利,2012-07-20,=-0.0137,=1562.6100,=0.0229,=8.3995,=0.9320,=4.5075,=5.3657,=6.9620,=7.8335,=10.0345,=0.7415,=0.4716,=0.5268,=0.6189,=0.7511,=0.9661,=1.3272,=1.0379,=0.4258,=0.6026,=0.8953,=1.0778,=1.3099,=1.6854,=0.0446,=0.2007,=0.0346,=0.0446,=0.0513,=0.0650,=0.0754,=0.0218,=0.0803,=0.0258,=225
="000063",上证周期,2010-02-03,=-0.0119,=3539.0800,=-0.1278,=8.4890,=0.4662,=5.4761,=7.1362,=8.5974,=9.4385,=12.4946,=0.8851,=0.3289,=0.6668,=0.8368,=0.9564,=1.1066,=1.4831,=1.4623,=0.8195,=0.8113,=1.0636,=1.2494,=1.4484,=1.7571,=0.0392,=0.5309,=0.0252,=0.0350,=0.0386,=0.0518,=0.0626,=0.0245,=0.0975,=0.0256,=205
="931644",800红利,2024-03-15,,,=-0.0261,=8.5262,=0.5593,=6.4729,=7.3538,=8.3651,=9.0454,=9.4757,=0.8290,=0.3558,=0.7001,=0.7723,=0.8573,=0.9065,=0.9431,=1.1940,=0.5611,=0.8423,=0.9273,=1.1446,=1.2930,=1.3602,=0.0453,=0.3628,=0.0416,=0.0431,=0.0471,=0.0579,=0.0662,=0.0236,=0.0906,=0.0231,=32
="000824",国企红利,2012-07-20,=-0.0095,=2075.3468,=-0.0216,=8.5288,=0.8133,=4.8847,=5.9406,=7.3386,=8.4531,=10.7823,=0.8256,=0.5045,=0.5610,=0.6880,=0.8233,=1.0592,=1.4469,=1.2297,=0.7741,=0.5370,=0.7016,=0.9865,=1.2552,=1.6834,=0.0444,=0.3557,=0.0328,=0.0418,=0.0481,=0.0583,=0.0694,=0.0232,=0.0892,=0.0226,=947
="HSCCI",恒生香港中资企业指数,1997-06-16,=0.0119,=3991.3800,=-0.0060,=8.5419,=0.4770,=4.8859,=6.8728,=8.7851,=11.5920,=16.1208,=0.8084,=0.3759,=0.5567,=0.7305,=0.8636,=1.1606,=1.3660,=0.9190,=0.4011,=0.5555,=0.7802,=0.9833,=1.3554,=1.5178,=0.0586,=0.6595,=0.0276,=0.0361,=0.0531,=0.0664,=0.1028,,=0.0951,,=35
