指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931079",5G通信,2019-04-25,=0.0038,=2077.7400,=0.0778,=49.8311,=0.9483,=21.0709,=27.3482,=33.0455,=43.2605,=103.6981,=6.5205,=0.9850,=2.3623,=3.0242,=3.5706,=5.1196,=6.8585,=2.6646,=0.9477,=1.1916,=1.4818,=1.8202,=2.2754,=3.0260,=0.1017,=0.1153,=0.0857,=0.0075,=2228
="930743",中证生科,2015-08-26,=-0.0084,=3217.5200,=-0.0229,=49.8720,=0.4782,=24.0733,=39.5208,=50.6431,=59.8284,=100.3520,=3.5863,=0.0903,=2.9526,=4.0099,=6.2418,=8.0612,=14.6705,=6.5420,=0.2448,=4.7455,=6.3236,=9.1206,=12.4815,=18.8359,=0.0650,=0.0679,=0.0619,=0.0099,=1210
="930771",CS新能源,2015-12-16,,,=0.1436,=50.0162,=0.8727,=11.2377,=23.1373,=34.0473,=44.6972,=62.8342,=3.2006,=0.6743,=1.7615,=2.1579,=2.8303,=3.9387,=7.2156,=2.8982,=0.7638,=1.2791,=1.6622,=2.1589,=3.1648,=6.6822,=0.0553,=0.0560,=0.0523,=0.0114,=26
="399808",中证新能,2015-02-10,=0.0285,=3180.2600,=0.1298,=50.0162,=0.8763,=11.2377,=23.4990,=36.8470,=46.5727,=62.8342,=3.2006,=0.6587,=1.7615,=2.1712,=2.9372,=3.8504,=7.2277,=2.8982,=0.7836,=1.2791,=1.6778,=2.2507,=3.0254,=6.6822,=0.0553,=0.0560,=0.0523,=0.0114,=1239
="980015",疫苗生科,2015-02-16,=-0.0033,=6135.1600,=-0.0240,=50.1059,=0.7056,=24.1714,=31.0174,=40.0963,=54.4265,=80.8207,=3.6866,=0.2447,=2.9980,=3.5951,=4.1962,=7.2145,=11.0606,=6.7440,=0.5549,=4.5746,=5.4526,=6.3356,=9.8507,=15.0694,=0.0688,=0.0742,=0.0642,=0.0100,=73
="980080",成长100,2012-12-28,,,=0.0647,=50.3507,=0.5683,=39.4731,=44.5124,=49.2988,=56.6869,=70.5336,=6.0479,=0.7484,=3.0437,=3.5727,=4.3351,=6.2026,=7.4042,=3.0408,=0.5839,=2.0191,=2.3713,=2.6288,=3.8766,=4.9708,=0.0682,=0.0714,,=0.0070,=117
="399970",移动互联,2014-05-05,=-0.0031,=4594.6700,=0.0299,=50.9518,=0.8223,=21.2604,=32.0602,=40.2098,=49.7580,=64.0807,=4.6740,=0.6426,=2.3944,=3.2977,=4.0681,=5.6848,=7.9573,=2.6188,=0.5202,=1.5790,=2.0679,=2.5703,=3.3775,=4.6665,=0.0654,=0.0659,=0.0514,=0.0085,=469
="000852",中证1000,2014-10-17,=0.0016,=8363.5300,=0.1011,=51.2867,=0.8495,=18.9344,=30.9274,=37.8121,=48.3520,=81.9135,=2.7450,=0.7003,=1.4880,=2.1060,=2.4403,=3.0005,=4.2563,=1.9303,=0.7733,=0.9250,=1.3827,=1.5870,=2.0175,=3.5402,=0.0466,=0.0481,=0.0444,=0.0098,=7067
="930632",CS稀金属,2015-05-12,=-0.0109,=3241.9300,=0.1958,=51.8918,=0.5754,=10.0759,=24.6559,=44.6580,=127.5003,=902.9270,=4.6792,=0.8561,=1.7714,=2.4678,=3.4483,=4.3944,=7.1765,=3.5454,=0.9711,=1.0736,=1.5817,=2.0649,=2.9670,=4.1072,=0.0768,=0.0747,=0.0572,=0.0061,=323
="931696",科技50策略,2021-07-12,=-0.0048,=21016.0100,=0.0433,=51.9773,=0.9238,=23.0047,=27.5195,=33.1003,=40.4868,=58.4490,=6.9726,=0.8298,=3.0567,=3.8795,=4.3599,=6.7434,=9.7885,=3.9550,=0.8067,=1.9010,=2.3547,=2.6327,=3.9130,=6.7093,=0.0956,=0.1025,=0.0757,=0.0068,=3
="000915",300信息,2007-07-02,=-0.0052,=3265.3900,=0.0045,=53.1030,=0.9221,=20.6178,=34.5626,=39.4959,=46.9068,=68.0661,=5.8176,=0.8697,=2.7398,=3.5399,=4.2983,=5.2581,=7.3159,=2.8854,=0.4138,=1.6744,=2.1697,=3.3056,=4.1314,=4.9963,=0.0660,=0.0722,=0.0501,=0.0077,=17
="1000003",深圳A股,1994-01-01,=0.0052,=2744.0200,=0.0842,=53.2526,=0.9732,=20.1337,=32.6807,=37.4322,=46.0695,=60.3260,=3.0489,=0.6583,=1.7026,=2.2996,=2.6857,=3.2700,=3.9166,=2.2429,=0.6702,=1.2021,=1.6469,=1.9199,=2.4513,=3.2018,=0.0542,=0.0504,=0.0511,=0.0117,=1808
="931494",消费电子,2020-06-12,=-0.0025,=5188.9300,=0.0202,=53.4381,=0.8654,=20.2625,=31.0664,=38.1121,=49.9069,=68.9438,=5.1284,=0.8539,=2.1307,=2.8008,=3.4139,=4.9635,=6.1125,=2.5579,=0.7927,=1.3000,=1.6355,=1.9102,=2.5661,=3.1624,=0.0651,=0.0678,=0.0485,=0.0073,=212
="931456",中国教育,2020-04-21,=-0.0073,=1194.3074,=-0.0142,=53.5251,=0.1129,=39.6430,=58.4254,=98.5713,=-127.3206,=28609.2511,=3.4132,=0.6932,=1.5831,=2.4285,=2.9525,=4.3894,=9.7545,=3.3348,=0.4595,=1.7011,=2.7853,=3.4127,=5.2383,=11.2012,,=0.0359,,=0.0072,=164
="931461",电子50,2009-07-22,=-0.0037,=6074.2700,=0.0304,=53.5775,=0.8887,=20.3357,=30.2775,=36.2182,=46.5894,=68.3511,=5.6436,=0.9023,=2.5323,=3.1789,=3.6587,=5.1330,=6.9973,=2.8388,=0.7667,=1.1588,=1.7886,=2.0467,=2.9930,=4.5428,=0.0692,=0.0702,=0.0504,=0.0071,=432
="931643",科创创业50,2021-06-01,=0.0023,=2035.7000,=0.0205,=53.6740,=0.7318,=22.6109,=28.2098,=39.1830,=56.9173,=92.9106,=6.7546,=0.7742,=3.3216,=4.1178,=5.0854,=6.8753,=12.1685,=6.6302,=0.7725,=2.7030,=3.3507,=4.5260,=6.8629,=14.6821,=0.0923,=0.1140,=0.0894,=0.0077,=1835
="931087",科技龙头,2019-03-20,=-0.0059,=5394.4900,=0.0263,=53.8812,=0.8763,=22.2848,=33.4534,=39.9035,=50.5437,=64.5538,=6.2559,=0.7562,=2.8190,=4.1578,=5.2176,=6.4285,=8.4597,=4.8881,=0.8130,=2.0316,=3.3016,=3.8985,=4.8323,=6.4338,=0.0806,=0.0902,=0.0653,=0.0056,=2072
="399624",中创400,2011-08-15,=-0.0001,=2856.3500,=0.1110,=55.0361,=0.8689,=22.4097,=32.9060,=40.4876,=48.7257,=82.4491,=3.3949,=0.7700,=1.6720,=2.4135,=2.8494,=3.4640,=5.3458,=2.7478,=0.8104,=1.2865,=1.8978,=2.2295,=2.7223,=4.8085,=0.0568,=0.0551,=0.0524,=0.0089,=227
="930719",CS精准医,2015-08-05,=-0.0119,=2676.3800,=0.0068,=55.0979,=0.5601,=29.3195,=38.1920,=52.7978,=67.3988,=102.1078,=4.5300,=0.1748,=3.4982,=4.6188,=6.2362,=9.0924,=14.5104,=7.0915,=0.4310,=5.1956,=6.1900,=7.5291,=10.6924,=18.8625,=0.0785,=0.0592,=0.0562,=0.0081,=332
="931380",科技50,2019-11-25,=-0.0001,=3291.0900,=0.0416,=56.3544,=0.8037,=22.4426,=31.0187,=45.0239,=56.2568,=71.9143,=6.0285,=0.6717,=2.7627,=3.8401,=5.1376,=7.3779,=9.9144,=5.1139,=0.6914,=2.1802,=3.0258,=3.9911,=5.5582,=7.7525,=0.0708,=0.0508,=0.0393,=0.0077,=938
