指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="000699",科创200,2024-08-20,=-0.0008,=1265.5200,=0.5276,=294.3672,=0.7647,=128.9087,=173.0860,=234.0793,=298.2985,=388.1174,=4.2351,=0.8854,=1.9770,=2.9453,=3.1898,=4.1435,=4.4922,=6.7103,=0.9133,=3.3605,=4.9911,=5.4555,=6.4030,=7.0117,=0.0163,,,=0.0046,=91
="931151",光伏产业,2019-04-22,=0.0089,=2783.6200,=0.2291,=321.8301,=0.9042,=9.5087,=18.2304,=35.8839,=58.5910,=329.2016,=2.4325,=0.4802,=1.5562,=1.9170,=2.5373,=4.5860,=6.9801,=1.8133,=0.5402,=0.8897,=1.2242,=1.7013,=3.3489,=5.9137,=0.0130,=-0.0080,=0.0100,=0.0085,=2564
="000683",科创生物,2022-05-09,=0.0150,=1100.9500,=0.2865,=332.4003,=0.2543,=31.4909,=164.9915,=3038.2279,=-206.0886,=97054.3385,=6.8283,=0.9137,=4.0903,=4.8051,=5.3347,=5.8889,=7.9611,=11.6545,=0.8593,=7.6079,=9.1731,=10.2330,=11.4319,=14.1963,=0.0264,=0.0087,=0.0173,=0.0027,=38
="980018",卫星通信,2015-02-17,=0.0149,=4523.1900,=0.4881,=556.6824,=1,=23.6003,=28.6449,=36.5089,=49.6906,=556.6824,=5.0399,=0.9877,=1.7225,=2.0402,=2.5057,=4.1193,=5.4158,=4.9971,=1,=1.5054,=1.7890,=2.2590,=2.9876,=4.9971,=0.0544,=0.0628,=0.0603,=0.0036,=11
="930633",中证旅游,2015-05-08,=0.0287,=3268.1700,=0.1221,=2509.7802,=0.5638,=15.8968,=21.3422,=243.6186,=-53.1092,=11171.4579,=2.7023,=0.7407,=1.6473,=2.1842,=2.3888,=2.8154,=3.6934,=1.5258,=0.3444,=1.0607,=1.3645,=1.6158,=2.5752,=3.7607,=0.0353,=0.0007,=0.0366,=0.0077,=547
="H30182",计算机,2013-07-15,=0.0056,=7408.4300,=0.1132,=3387.3041,=0.9289,=33.2527,=54.2923,=97.7357,=204.4204,=65313.4473,=4.6120,=0.8073,=2.4295,=3.5575,=4.0514,=4.5934,=5.8765,=4.4870,=0.7046,=2.3635,=3.5448,=4.1208,=4.7266,=7.6223,=0.0011,=-0.0043,=-0.0022,=0.0044,=31
="000692",科创新能,2023-04-03,=0.0086,=1108.8700,=0.2263,=-39.5453,=0.9181,=13.9124,=18.3440,=27.2187,=-44.3141,=279.8956,=2.4345,=0.6753,=1.4486,=1.7524,=2.0837,=2.6235,=4.0229,=1.8014,=0.7830,=0.8667,=1.1330,=1.3209,=1.8145,=2.6157,=-0.0313,=-0.0246,=0.0066,=0.0060,=22
="931025",港股通地产,2017-11-06,=0.0084,=1613.0100,=0.1268,=-35.0780,=0.7536,=1.3998,=5.3618,=8.0881,=-2.1552,=7833.8201,=0.4575,=0.4426,=0.0757,=0.1970,=0.4886,=0.8869,=1.4256,=0.7993,=0.7454,=0.0508,=0.1396,=0.5181,=0.8427,=1.5776,,=-0.0300,,=0.0424,=7
="399393",国证地产,2012-08-20,=0.0163,=3118.6500,=-0.0122,=-11.1318,=0.9885,=6.3321,=8.5913,=15.6978,=42.7997,=115902.4187,=0.8414,=0.1720,=0.5768,=0.8686,=1.2566,=2.0291,=3.4413,=0.5941,=0.4037,=0.3699,=0.5178,=0.7569,=1.3612,=2.3761,=-0.0096,=-0.0291,=0.0040,=0.0111,=1403
="931775",房地产,2013-07-15,=0.0209,=2928.1100,=0.0032,=-7.5398,=0.9979,=7.0141,=8.9864,=18.2494,=404.8923,=1490.8370,=0.8733,=0.2280,=0.5750,=0.8468,=1.2014,=2.0222,=3.4124,=0.6332,=0.4210,=0.3617,=0.5330,=0.7716,=1.4452,=2.7346,=-0.0190,=-0.0504,=-0.0032,=0.0094,=857
="000816",细分地产,2012-04-11,=0.0187,=2682.2900,=-0.0341,=-7.0840,=0.9988,=6.1299,=8.3312,=15.7876,=155.5341,=2488.2259,=0.8298,=0.2078,=0.5599,=0.8230,=1.2137,=2.0572,=3.2279,=0.5588,=0.3893,=0.3390,=0.4956,=0.7177,=1.3096,=2.5643,=-0.0175,=-0.0470,=-0.0021,=0.0086,=3
="399965",800地产,2012-12-21,=0.0193,=2632.0300,=-0.0427,=-6.6682,=0.9988,=5.5394,=8.0067,=14.1323,=18.9369,=59.7245,=0.6454,=0.0683,=0.5234,=0.7711,=1.2064,=2.0223,=3.2490,=0.3975,=0.1198,=0.2881,=0.4214,=0.6856,=1.2612,=2.4794,=-0.0101,=-0.0241,=0.0065,=0.0136,=186
="399983",地产等权,2013-11-22,=0.0230,=2027.4600,=-0.1234,=-4.7565,=0.9988,=5.0058,=7.3322,=10.6055,=15.9907,=75.5023,=0.5439,=0.0502,=0.4408,=0.6501,=1.3223,=2.0799,=3.3634,=0.3415,=0.1243,=0.2209,=0.3636,=0.6314,=1.1404,=2.2276,=-0.0186,=-0.0289,=-0.0004,=0.0143,=1002
=".NDX",纳斯达克100指数,1969-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,=0.1906,,=3559

数据来源于：理杏仁网站(lixinger.com)
